query_id,query_type,precision,recall,f1,mrr,hit_rate,ndcg,retrieval_time_ms
0,factual,0.0,0.0,0.0,0.0,0.0,0.0,70.07765769958496
1,factual,0.0,0.0,0.0,0.0,0.0,0.0,46.05245590209961
2,factual,0.0,0.0,0.0,0.0,0.0,0.0,81.93588256835938
3,factual,0.0,0.0,0.0,0.0,0.0,0.0,48.8734245300293
4,factual,0.0,0.0,0.0,0.0,0.0,0.0,55.88030815124512
5,factual,0.0,0.0,0.0,0.0,0.0,0.0,107.12575912475586
6,factual,0.0,0.0,0.0,0.0,0.0,0.0,52.89125442504883
7,listing,0.0,0.0,0.0,0.0,0.0,0.0,45.2733039855957
8,factual,0.0,0.0,0.0,0.0,0.0,0.0,85.6466293334961
9,factual,0.0,0.0,0.0,0.0,0.0,0.0,80.02305030822754
10,listing,0.0,0.0,0.0,0.0,0.0,0.0,61.85746192932129
11,factual,0.0,0.0,0.0,0.0,0.0,0.0,70.40524482727051
12,factual,0.0,0.0,0.0,0.0,0.0,0.0,43.395280838012695
13,listing,0.0,0.0,0.0,0.0,0.0,0.0,57.94572830200195
14,factual,0.0,0.0,0.0,0.0,0.0,0.0,62.764883041381836
15,factual,0.0,0.0,0.0,0.0,0.0,0.0,81.55703544616699
16,factual,0.0,0.0,0.0,0.0,0.0,0.0,76.16615295410156
17,factual,0.0,0.0,0.0,0.0,0.0,0.0,76.50399208068848
18,factual,0.0,0.0,0.0,0.0,0.0,0.0,60.21928787231445
19,factual,0.0,0.0,0.0,0.0,0.0,0.0,48.192501068115234
20,factual,0.0,0.0,0.0,0.0,0.0,0.0,81.20417594909668
21,factual,0.0,0.0,0.0,0.0,0.0,0.0,50.7814884185791
22,factual,0.0,0.0,0.0,0.0,0.0,0.0,36.55886650085449
23,listing,0.0,0.0,0.0,0.0,0.0,0.0,58.86197090148926
24,listing,0.14285714285714285,1.0,0.25,0.3333333333333333,1.0,0.5,54.305076599121094
25,factual,0.0,0.0,0.0,0.0,0.0,0.0,65.83309173583984
26,listing,0.0,0.0,0.0,0.0,0.0,0.0,53.52210998535156
27,factual,0.0,0.0,0.0,0.0,0.0,0.0,56.80203437805176
28,factual,0.0,0.0,0.0,0.0,0.0,0.0,68.83764266967773
29,factual,0.0,0.0,0.0,0.0,0.0,0.0,69.46468353271484
30,factual,0.0,0.0,0.0,0.0,0.0,0.0,54.16536331176758
31,factual,0.0,0.0,0.0,0.0,0.0,0.0,54.03494834899902
32,factual,0.0,0.0,0.0,0.0,0.0,0.0,69.66400146484375
33,factual,0.0,0.0,0.0,0.0,0.0,0.0,73.16923141479492
34,factual,0.0,0.0,0.0,0.0,0.0,0.0,54.64768409729004
35,procedural,0.0,0.0,0.0,0.0,0.0,0.0,58.32958221435547
36,factual,0.0,0.0,0.0,0.0,0.0,0.0,73.7917423248291
37,factual,0.0,0.0,0.0,0.0,0.0,0.0,69.6876049041748
38,procedural,0.0,0.0,0.0,0.0,0.0,0.0,61.4161491394043
39,procedural,0.0,0.0,0.0,0.0,0.0,0.0,75.7601261138916
40,procedural,0.0,0.0,0.0,0.0,0.0,0.0,84.08379554748535
41,factual,0.0,0.0,0.0,0.0,0.0,0.0,55.74631690979004
42,factual,0.0,0.0,0.0,0.0,0.0,0.0,59.53526496887207
43,listing,0.0,0.0,0.0,0.0,0.0,0.0,60.5769157409668
44,factual,0.0,0.0,0.0,0.0,0.0,0.0,54.52609062194824
45,factual,0.0,0.0,0.0,0.0,0.0,0.0,76.83157920837402
46,numerical,0.0,0.0,0.0,0.0,0.0,0.0,89.874267578125
47,numerical,0.0,0.0,0.0,0.0,0.0,0.0,67.75498390197754
48,numerical,0.0,0.0,0.0,0.0,0.0,0.0,98.59871864318848
49,factual,0.0,0.0,0.0,0.0,0.0,0.0,49.42035675048828
50,numerical,0.0,0.0,0.0,0.0,0.0,0.0,59.95655059814453
51,numerical,0.0,0.0,0.0,0.0,0.0,0.0,59.60392951965332
52,factual,0.0,0.0,0.0,0.0,0.0,0.0,81.03823661804199
53,factual,0.0,0.0,0.0,0.0,0.0,0.0,63.91501426696777
54,factual,0.0,0.0,0.0,0.0,0.0,0.0,59.25321578979492
55,factual,0.0,0.0,0.0,0.0,0.0,0.0,76.42388343811035
56,listing,0.0,0.0,0.0,0.0,0.0,0.0,63.826799392700195
57,listing,0.0,0.0,0.0,0.0,0.0,0.0,61.3553524017334
58,factual,0.0,0.0,0.0,0.0,0.0,0.0,60.88399887084961
59,factual,0.0,0.0,0.0,0.0,0.0,0.0,40.74215888977051
60,listing,0.0,0.0,0.0,0.0,0.0,0.0,67.5048828125
61,factual,0.0,0.0,0.0,0.0,0.0,0.0,75.58560371398926
62,factual,0.0,0.0,0.0,0.0,0.0,0.0,73.12202453613281
63,factual,0.0,0.0,0.0,0.0,0.0,0.0,82.54170417785645
64,factual,0.14285714285714285,1.0,0.25,0.2,1.0,0.38685280723454163,61.309814453125
65,factual,0.0,0.0,0.0,0.0,0.0,0.0,36.257266998291016
66,factual,0.0,0.0,0.0,0.0,0.0,0.0,56.78582191467285
67,factual,0.0,0.0,0.0,0.0,0.0,0.0,66.27988815307617
68,factual,0.0,0.0,0.0,0.0,0.0,0.0,99.52139854431152
69,factual,0.0,0.0,0.0,0.0,0.0,0.0,78.45544815063477
70,factual,0.0,0.0,0.0,0.0,0.0,0.0,60.46748161315918
71,factual,0.0,0.0,0.0,0.0,0.0,0.0,91.76826477050781
72,factual,0.0,0.0,0.0,0.0,0.0,0.0,61.385154724121094
73,factual,0.0,0.0,0.0,0.0,0.0,0.0,55.77969551086426
74,factual,0.0,0.0,0.0,0.0,0.0,0.0,55.70721626281738
75,listing,0.0,0.0,0.0,0.0,0.0,0.0,53.00402641296387
76,listing,0.0,0.0,0.0,0.0,0.0,0.0,71.93112373352051
77,factual,0.0,0.0,0.0,0.0,0.0,0.0,73.04120063781738
78,factual,0.0,0.0,0.0,0.0,0.0,0.0,51.56421661376953
79,factual,0.0,0.0,0.0,0.0,0.0,0.0,62.61014938354492
80,listing,0.0,0.0,0.0,0.0,0.0,0.0,60.6534481048584
81,factual,0.0,0.0,0.0,0.0,0.0,0.0,79.79941368103027
82,listing,0.0,0.0,0.0,0.0,0.0,0.0,41.4273738861084
83,factual,0.0,0.0,0.0,0.0,0.0,0.0,67.20995903015137
84,listing,0.0,0.0,0.0,0.0,0.0,0.0,66.12443923950195
85,factual,0.0,0.0,0.0,0.0,0.0,0.0,71.2897777557373
86,factual,0.0,0.0,0.0,0.0,0.0,0.0,60.53042411804199
87,factual,0.0,0.0,0.0,0.0,0.0,0.0,78.42445373535156
88,listing,0.0,0.0,0.0,0.0,0.0,0.0,52.95681953430176
89,factual,0.0,0.0,0.0,0.0,0.0,0.0,79.20694351196289
90,listing,0.0,0.0,0.0,0.0,0.0,0.0,59.90743637084961
91,factual,0.0,0.0,0.0,0.0,0.0,0.0,76.52664184570312
92,factual,0.0,0.0,0.0,0.0,0.0,0.0,72.47519493103027
93,factual,0.0,0.0,0.0,0.0,0.0,0.0,78.56035232543945
94,factual,0.0,0.0,0.0,0.0,0.0,0.0,69.65875625610352
95,factual,0.0,0.0,0.0,0.0,0.0,0.0,71.27165794372559
96,numerical,0.0,0.0,0.0,0.0,0.0,0.0,78.34720611572266
97,factual,0.0,0.0,0.0,0.0,0.0,0.0,73.14515113830566
98,listing,0.0,0.0,0.0,0.0,0.0,0.0,64.8341178894043
99,factual,0.0,0.0,0.0,0.0,0.0,0.0,65.50192832946777
100,listing,0.0,0.0,0.0,0.0,0.0,0.0,64.82291221618652
101,factual,0.0,0.0,0.0,0.0,0.0,0.0,58.24923515319824
102,factual,0.0,0.0,0.0,0.0,0.0,0.0,73.70758056640625
103,factual,0.0,0.0,0.0,0.0,0.0,0.0,88.73391151428223
104,procedural,0.0,0.0,0.0,0.0,0.0,0.0,116.61243438720703
105,listing,0.0,0.0,0.0,0.0,0.0,0.0,57.653188705444336
106,factual,0.0,0.0,0.0,0.0,0.0,0.0,71.76971435546875
107,factual,0.0,0.0,0.0,0.0,0.0,0.0,70.44386863708496
108,factual,0.0,0.0,0.0,0.0,0.0,0.0,60.39834022521973
109,factual,0.0,0.0,0.0,0.0,0.0,0.0,59.22651290893555
110,listing,0.0,0.0,0.0,0.0,0.0,0.0,45.865535736083984
111,factual,0.0,0.0,0.0,0.0,0.0,0.0,70.38187980651855
112,listing,0.0,0.0,0.0,0.0,0.0,0.0,57.709455490112305
113,factual,0.0,0.0,0.0,0.0,0.0,0.0,123.19564819335938
114,factual,0.0,0.0,0.0,0.0,0.0,0.0,75.11281967163086
115,listing,0.0,0.0,0.0,0.0,0.0,0.0,63.70997428894043
116,factual,0.0,0.0,0.0,0.0,0.0,0.0,57.229042053222656
117,factual,0.0,0.0,0.0,0.0,0.0,0.0,70.11222839355469
118,factual,0.0,0.0,0.0,0.0,0.0,0.0,89.67852592468262
119,listing,0.0,0.0,0.0,0.0,0.0,0.0,66.20216369628906
120,factual,0.0,0.0,0.0,0.0,0.0,0.0,64.52250480651855
121,factual,0.0,0.0,0.0,0.0,0.0,0.0,68.70126724243164
122,factual,0.0,0.0,0.0,0.0,0.0,0.0,95.83497047424316
123,abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,41.61405563354492
124,abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,46.88310623168945
125,abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,46.38481140136719
126,abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,36.87405586242676
127,abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,56.60653114318848
128,abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,42.47593879699707
129,abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,53.319454193115234
130,abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,43.05458068847656
131,abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,44.767141342163086
132,abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,43.02096366882324
