alpha,metric,value
0.0,precision@k,0.6576375095240986
0.0,recall@k,0.7754694138520215
0.0,f1@k,0.6134873285800998
0.0,mrr,0.6887345997747347
0.0,hit_rate@k,0.8727504188829198
0.0,ndcg@k,0.6468213270210051
0.1,precision@k,0.6789877447311425
0.1,recall@k,0.7870935741352393
0.1,f1@k,0.636555184710526
0.1,mrr,0.6965874039828747
0.1,hit_rate@k,0.8891996809206836
0.1,ndcg@k,0.6763444440040244
0.2,precision@k,0.6751860231342403
0.2,recall@k,0.7536740916360181
0.2,f1@k,0.6696754448034179
0.2,mrr,0.7147191982132608
0.2,hit_rate@k,0.8999443151590666
0.2,ndcg@k,0.6980083611432667
0.3,precision@k,0.6795611916419481
0.3,recall@k,0.7499683829845064
0.3,f1@k,0.6955191720026082
0.3,mrr,0.7488048278631191
0.3,hit_rate@k,0.9059422051990516
0.3,ndcg@k,0.7177417284853024
0.4,precision@k,0.7036812658461715
0.4,recall@k,0.731365598599802
0.4,f1@k,0.7227403680600096
0.4,mrr,0.7589468599961781
0.4,hit_rate@k,0.9119710837705416
0.4,ndcg@k,0.7321285811931918
0.5,precision@k,0.6940588617146413
0.5,recall@k,0.7465400707643223
0.5,f1@k,0.7316125124609041
0.5,mrr,0.7772440888197815
0.5,hit_rate@k,0.90321616102835
0.5,ndcg@k,0.7509746757873317
0.6,precision@k,0.728078450380104
0.6,recall@k,0.7209707723784223
0.6,f1@k,0.7695521896681397
0.6,mrr,0.8128150129983793
0.6,hit_rate@k,0.910744981749936
0.6,ndcg@k,0.7665079939631854
0.7,precision@k,0.7399853159618885
0.7,recall@k,0.7379689364197671
0.7,f1@k,0.7949298281023606
0.7,mrr,0.8331522578460069
0.7,hit_rate@k,0.9233661720667095
0.7,ndcg@k,0.7818734953565619
0.8,precision@k,0.7366080947072691
0.8,recall@k,0.7057595857351633
0.8,f1@k,0.7573543160611886
0.8,mrr,0.8127935444283821
0.8,hit_rate@k,0.9258619544933353
0.8,ndcg@k,0.7745075977702089
0.9,precision@k,0.7697924521416659
0.9,recall@k,0.7081054837242077
0.9,f1@k,0.7326227725199452
0.9,mrr,0.7782047443591938
0.9,hit_rate@k,0.9338503538763774
0.9,ndcg@k,0.7372381930892943
1.0,precision@k,0.7612308944976343
1.0,recall@k,0.6809726386572582
1.0,f1@k,0.7044490423052302
1.0,mrr,0.7529094459181433
1.0,hit_rate@k,0.9335422135881409
1.0,ndcg@k,0.7288091716870583
