configuration,query_type,metric,value,k,latency_seconds
Pure_Dense_FAISS,all,precision@k,0.6787270059423681,5,0.1297983812631997
Pure_Dense_FAISS,all,recall@k,0.7475357153204958,5,0.1297983812631997
Pure_Dense_FAISS,all,f1@k,0.7160282685191418,5,0.1297983812631997
Pure_Dense_FAISS,all,mrr,0.7699329242098518,5,0.1297983812631997
Pure_Dense_FAISS,all,hit_rate@k,0.8778009320221218,5,0.1297983812631997
Pure_Dense_FAISS,all,ndcg@k,0.6977997260168101,5,0.1297983812631997
Pure_Dense_FAISS,factual,precision@k,0.721742508365046,5,0.11374948537600735
Pure_Dense_FAISS,factual,recall@k,0.7859852843732481,5,0.11374948537600735
Pure_Dense_FAISS,factual,f1@k,0.7574620217808679,5,0.11374948537600735
Pure_Dense_FAISS,factual,mrr,0.8212421773338814,5,0.11374948537600735
Pure_Dense_FAISS,factual,hit_rate@k,0.9306175348288741,5,0.11374948537600735
Pure_Dense_FAISS,factual,ndcg@k,0.7790972955648598,5,0.11374948537600735
Pure_Dense_FAISS,listing,precision@k,0.7149732792240128,5,0.11147747693018935
Pure_Dense_FAISS,listing,recall@k,0.7363701733203483,5,0.11147747693018935
Pure_Dense_FAISS,listing,f1@k,0.7148833204447845,5,0.11147747693018935
Pure_Dense_FAISS,listing,mrr,0.7755021352956031,5,0.11147747693018935
Pure_Dense_FAISS,listing,hit_rate@k,0.9091272672887861,5,0.11147747693018935
Pure_Dense_FAISS,listing,ndcg@k,0.7357426929489671,5,0.11147747693018935
Pure_Dense_FAISS,comparative,precision@k,0.6429583505592635,5,0.11974686624666152
Pure_Dense_FAISS,comparative,recall@k,0.6787368742059412,5,0.11974686624666152
Pure_Dense_FAISS,comparative,f1@k,0.6677841582702428,5,0.11974686624666152
Pure_Dense_FAISS,comparative,mrr,0.7141848158195613,5,0.11974686624666152
Pure_Dense_FAISS,comparative,hit_rate@k,0.8487643394560566,5,0.11974686624666152
Pure_Dense_FAISS,comparative,ndcg@k,0.6709908552988106,5,0.11974686624666152
Pure_Dense_FAISS,procedural,precision@k,0.6736820995265111,5,0.1316556108986544
Pure_Dense_FAISS,procedural,recall@k,0.7235552788417904,5,0.1316556108986544
Pure_Dense_FAISS,procedural,f1@k,0.6854187848933223,5,0.1316556108986544
Pure_Dense_FAISS,procedural,mrr,0.7554270331524083,5,0.1316556108986544
Pure_Dense_FAISS,procedural,hit_rate@k,0.8877724370658613,5,0.1316556108986544
Pure_Dense_FAISS,procedural,ndcg@k,0.6913935123815999,5,0.1316556108986544
Pure_Sparse_BM25,all,precision@k,0.6303772425950719,5,0.07587288434418402
Pure_Sparse_BM25,all,recall@k,0.6385262061843646,5,0.07587288434418402
Pure_Sparse_BM25,all,f1@k,0.6178982489406025,5,0.07587288434418402
Pure_Sparse_BM25,all,mrr,0.7274442768626667,5,0.07587288434418402
Pure_Sparse_BM25,all,hit_rate@k,0.8482816016537279,5,0.07587288434418402
Pure_Sparse_BM25,all,ndcg@k,0.660419867405823,5,0.07587288434418402
Pure_Sparse_BM25,factual,precision@k,0.6691384130752012,5,0.08275416875849405
Pure_Sparse_BM25,factual,recall@k,0.6929301634201915,5,0.08275416875849405
Pure_Sparse_BM25,factual,f1@k,0.6951726600867033,5,0.08275416875849405
Pure_Sparse_BM25,factual,mrr,0.753204574812188,5,0.08275416875849405
Pure_Sparse_BM25,factual,hit_rate@k,0.8636611470453434,5,0.08275416875849405
Pure_Sparse_BM25,factual,ndcg@k,0.6948553073033381,5,0.08275416875849405
Pure_Sparse_BM25,listing,precision@k,0.6310316556334565,5,0.08418591384525949
Pure_Sparse_BM25,listing,recall@k,0.6872796120623635,5,0.08418591384525949
Pure_Sparse_BM25,listing,f1@k,0.6524090687393391,5,0.08418591384525949
Pure_Sparse_BM25,listing,mrr,0.7298756685306195,5,0.08418591384525949
Pure_Sparse_BM25,listing,hit_rate@k,0.8393513322826823,5,0.08418591384525949
Pure_Sparse_BM25,listing,ndcg@k,0.6656020406353343,5,0.08418591384525949
Pure_Sparse_BM25,comparative,precision@k,0.5864013083802984,5,0.0758022007038784
Pure_Sparse_BM25,comparative,recall@k,0.6055456336657657,5,0.0758022007038784
Pure_Sparse_BM25,comparative,f1@k,0.6137332081242753,5,0.0758022007038784
