k,metric,value
3,precision@k,0.8290785715400517
3,recall@k,0.5882972878044089
3,f1@k,0.6882361820940692
3,mrr,0.8474031740051089
3,hit_rate@k,0.8603091323305774
3,ndcg@k,0.7885663712517545
5,precision@k,0.7685636829663461
5,recall@k,0.6593330963808733
5,f1@k,0.7097704542589571
5,mrr,0.839272399541785
5,hit_rate@k,0.9070601891093473
5,ndcg@k,0.7598889778413918
7,precision@k,0.7177019545720384
7,recall@k,0.7270227334303371
7,f1@k,0.7223322770551299
7,mrr,0.8063384401031255
7,hit_rate@k,0.9233898549337218
7,ndcg@k,0.749136025249167
10,precision@k,0.6537230954832155
10,recall@k,0.8289205959334994
10,f1@k,0.7309706857021735
10,mrr,0.7814012234017873
10,hit_rate@k,0.9669435298754153
10,ndcg@k,0.7263001445339834
15,precision@k,0.5298010770020851
15,recall@k,0.9928016803047305
15,f1@k,0.6909056179634065
15,mrr,0.7303665930472747
15,hit_rate@k,1.0
15,ndcg@k,0.6888153723550842
